x, y, z, C, R, G, B
-5.325267, -3.772833, -0.295559, 1, 0.356759, 0.018488, 0.514673
-5.476413, -3.583762, -0.474764, 1, 0.356759, 0.018488, 0.514673
-6.676177, -4.359277, 0.881959, 1, 0.356759, 0.018488, 0.514673
-5.890346, -4.485769, 0.404871, 1, 0.356759, 0.018488, 0.514673
-5.423484, -4.447444, 0.317025, 1, 0.356759, 0.018488, 0.514673
-5.701768, -3.716927, 0.253025, 1, 0.356759, 0.018488, 0.514673
-5.323055, -3.752072, 0.179636, 1, 0.356759, 0.018488, 0.514673
-6.031343, -3.928624, 0.004900, 1, 0.356759, 0.018488, 0.514673
-5.303580, -3.736683, -0.058203, 1, 0.356759, 0.018488, 0.514673
-5.141661, -3.909093, -0.117928, 1, 0.356759, 0.018488, 0.514673
-5.513962, -3.588330, -0.236633, 1, 0.356759, 0.018488, 0.514673
-5.343352, -3.761077, -0.295921, 1, 0.356759, 0.018488, 0.514673
-5.532538, -3.596297, -0.478671, 1, 0.356759, 0.018488, 0.514673
-7.253809, -4.700274, 0.637622, 1, 0.356759, 0.018488, 0.514673
-5.897711, -4.462857, 0.404434, 1, 0.356759, 0.018488, 0.514673
-5.325588, -4.339909, 0.310522, 1, 0.356759, 0.018488, 0.514673
-5.724049, -3.706478, 0.253508, 1, 0.356759, 0.018488, 0.514673
-5.341910, -3.740884, 0.179884, 1, 0.356759, 0.018488, 0.514673
-6.038330, -3.906842, 0.004895, 1, 0.356759, 0.018488, 0.514673
-5.333861, -3.733583, -0.058409, 1, 0.356759, 0.018488, 0.514673
-5.155226, -3.894506, -0.117965, 1, 0.356759, 0.018488, 0.514673
-5.536695, -3.578992, -0.237136, 1, 0.356759, 0.018488, 0.514673
-5.345042, -3.737796, -0.295378, 1, 0.356759, 0.018488, 0.514673
-5.537680, -3.575519, -0.478164, 1, 0.356759, 0.018488, 0.514673
-6.632613, -4.273014, 0.872723, 1, 0.356759, 0.018488, 0.514673
-7.229620, -4.653169, 0.634238, 1, 0.356759, 0.018488, 0.514673
-7.404428, -5.157215, 0.579092, 1, 0.356759, 0.018488, 0.514673
-5.864288, -4.409337, 0.401213, 1, 0.356759, 0.018488, 0.514673
-5.406419, -4.378247, 0.314451, 1, 0.356759, 0.018488, 0.514673
-5.748000, -3.697007, 0.254065, 1, 0.356759, 0.018488, 0.514673
-5.366491, -3.733612, 0.180326, 1, 0.356759, 0.018488, 0.514673
-6.054493, -3.891002, 0.004899, 1, 0.356759, 0.018488, 0.514673
-5.360068, -3.727478, -0.058571, 1, 0.356759, 0.018488, 0.514673
-5.164751, -3.876871, -0.117910, 1, 0.356759, 0.018488, 0.514673
-5.581286, -3.583587, -0.238574, 1, 0.356759, 0.018488, 0.514673
-5.331872, -3.704281, -0.294021, 1, 0.356759, 0.018488, 0.514673
-5.650210, -3.623664, -0.486918, 1, 0.356759, 0.018488, 0.514673
-5.871389, -4.386544, 0.400776, 1, 0.356759, 0.018488, 0.514673
-5.379357, -4.329072, 0.312103, 1, 0.356759, 0.018488, 0.514673
-5.799738, -3.705179, 0.255849, 1, 0.356759, 0.018488, 0.514673
-5.406701, -3.737023, 0.181291, 1, 0.356759, 0.018488, 0.514673
-6.085789, -3.884784, 0.004914, 1, 0.356759, 0.018488, 0.514673
-5.378882, -3.716131, -0.058652, 1, 0.356759, 0.018488, 0.514673
-5.181429, -3.864594, -0.118019, 1, 0.356759, 0.018488, 0.514673
-5.834920, -3.721206, -0.248926, 1, 0.356759, 0.018488, 0.514673
-5.333345, -3.681096, -0.293478, 1, 0.356759, 0.018488, 0.514673
-5.696631, -3.628818, -0.489957, 1, 0.356759, 0.018488, 0.514673
-5.867983, -4.356012, 0.399629, 1, 0.356759, 0.018488, 0.514673
-5.419919, -4.334385, 0.313683, 1, 0.356759, 0.018488, 0.514673
-5.821203, -3.693794, 0.256294, 1, 0.356759, 0.018488, 0.514673
-5.417317, -3.719852, 0.181263, 1, 0.356759, 0.018488, 0.514673
-5.159679, -3.826862, 0.116056, 1, 0.356759, 0.018488, 0.514673
-5.047692, -4.035843, 0.056061, 1, 0.356759, 0.018488, 0.514673
-6.101057, -3.868237, 0.004917, 1, 0.356759, 0.018488, 0.514673
-5.391907, -3.700743, -0.058670, 1, 0.356759, 0.018488, 0.514673
-5.191655, -3.847489, -0.117983, 1, 0.356759, 0.018488, 0.514673
-5.869103, -3.717726, -0.249897, 1, 0.356759, 0.018488, 0.514673
-5.370978, -3.682794, -0.294926, 1, 0.356759, 0.018488, 0.514673
-5.791179, -3.664118, -0.497120, 1, 0.356759, 0.018488, 0.514673
-8.127487, -5.125887, 0.708836, 1, 0.356759, 0.018488, 0.514673
-5.865247, -4.326135, 0.398537, 1, 0.356759, 0.018488, 0.514673
-5.405818, -4.295983, 0.312103, 1, 0.356759, 0.018488, 0.514673
-5.843498, -3.682844, 0.256777, 1, 0.356759, 0.018488, 0.514673
-5.444393, -3.713918, 0.181787, 1, 0.356759, 0.018488, 0.514673
-5.188298, -3.823470, 0.116435, 1, 0.356759, 0.018488, 0.514673
-5.080406, -4.036512, 0.056287, 1, 0.356759, 0.018488, 0.514673
-6.011353, -3.785555, 0.004836, 1, 0.356759, 0.018488, 0.514673
-5.399931, -3.681930, -0.058634, 1, 0.356759, 0.018488, 0.514673
-5.194578, -3.825022, -0.117782, 1, 0.356759, 0.018488, 0.514673
-5.864410, -3.689591, -0.249214, 1, 0.356759, 0.018488, 0.514673
-5.405369, -3.682046, -0.296192, 1, 0.356759, 0.018488, 0.514673
-5.858973, -3.681889, -0.501967, 1, 0.356759, 0.018488, 0.514673
-7.032770, -4.771261, 0.545404, 1, 0.356759, 0.018488, 0.514673
-5.855136, -4.291003, 0.396954, 1, 0.356759, 0.018488, 0.514673
-5.358605, -4.231705, 0.308626, 1, 0.356759, 0.018488, 0.514673
-5.901357, -3.694061, 0.258821, 1, 0.356759, 0.018488, 0.514673
-5.497965, -3.725797, 0.183193, 1, 0.356759, 0.018488, 0.514673
-5.245179, -3.840613, 0.117447, 1, 0.356759, 0.018488, 0.514673
-5.103754, -4.029581, 0.056408, 1, 0.356759, 0.018488, 0.514673
-6.022939, -3.767095, 0.004836, 1, 0.356759, 0.018488, 0.514673
-5.392987, -3.653009, -0.058436, 1, 0.356759, 0.018488, 0.514673
-5.193378, -3.799621, -0.117490, 1, 0.356759, 0.018488, 0.514673
-5.874007, -3.670522, -0.249142, 1, 0.356759, 0.018488, 0.514673
-5.419122, -3.667125, -0.296328, 1, 0.356759, 0.018488, 0.514673
-5.829628, -3.638549, -0.498495, 1, 0.356759, 0.018488, 0.514673
-8.143544, -5.066439, 0.707512, 1, 0.356759, 0.018488, 0.514673
-6.960483, -4.691100, 0.538679, 1, 0.356759, 0.018488, 0.514673
-5.850515, -4.260089, 0.395753, 1, 0.356759, 0.018488, 0.514673
-5.356630, -4.203528, 0.307768, 1, 0.356759, 0.018488, 0.514673
-5.918603, -3.679632, 0.259081, 1, 0.356759, 0.018488, 0.514673
-5.509370, -3.708911, 0.183193, 1, 0.356759, 0.018488, 0.514673
-5.267448, -3.832150, 0.117682, 1, 0.356759, 0.018488, 0.514673
-5.121600, -4.018225, 0.056469, 1, 0.356759, 0.018488, 0.514673
-6.077789, -3.775511, 0.004870, 1, 0.356759, 0.018488, 0.514673
-5.401680, -3.634771, -0.058409, 1, 0.356759, 0.018488, 0.514673
-5.200967, -3.780731, -0.117399, 1, 0.356759, 0.018488, 0.514673
-5.929394, -3.679887, -0.251011, 1, 0.356759, 0.018488, 0.514673
-5.442783, -3.658842, -0.297007, 1, 0.356759, 0.018488, 0.514673
-5.932317, -3.677400, -0.506308, 1, 0.356759, 0.018488, 0.514673
-7.399005, -4.955201, 0.896217, 1, 0.356759, 0.018488, 0.514673
-8.185350, -5.057682, 0.709793, 1, 0.356759, 0.018488, 0.514673
-7.004695, -4.689711, 0.540985, 1, 0.356759, 0.018488, 0.514673
-5.823917, -4.213441, 0.393077, 1, 0.356759, 0.018488, 0.514673
-5.925613, -3.658831, 0.258895, 1, 0.356759, 0.018488, 0.514673
-5.285662, -3.820657, 0.117826, 1, 0.356759, 0.018488, 0.514673
-6.089344, -3.756846, 0.004870, 1, 0.356759, 0.018488, 0.514673
-5.455204, -3.646523, -0.058867, 1, 0.356759, 0.018488, 0.514673
-5.210920, -3.763586, -0.117362, 1, 0.356759, 0.018488, 0.514673
-5.972133, -3.681080, -0.252341, 1, 0.356759, 0.018488, 0.514673
-5.451490, -3.640462, -0.296871, 1, 0.356759, 0.018488, 0.514673
-5.988586, -3.686895, -0.510143, 1, 0.356759, 0.018488, 0.514673
-8.184678, -5.022635, 0.708395, 1, 0.356759, 0.018488, 0.514673
-5.782494, -4.156506, 0.389419, 1, 0.356759, 0.018488, 0.514673
-5.964070, -3.657351, 0.260084, 1, 0.356759, 0.018488, 0.514673
-5.577818, -3.705459, 0.184710, 1, 0.356759, 0.018488, 0.514673
-5.294111, -3.802090, 0.117754, 1, 0.356759, 0.018488, 0.514673
-6.087198, -3.729788, 0.004859, 1, 0.356759, 0.018488, 0.514673
-5.558832, -3.691169, -0.059863, 1, 0.356759, 0.018488, 0.514673
-5.229753, -3.752827, -0.117527, 1, 0.356759, 0.018488, 0.514673
-5.981694, -3.661697, -0.252269, 1, 0.356759, 0.018488, 0.514673
-5.460969, -3.622616, -0.296781, 1, 0.356759, 0.018488, 0.514673
-6.015185, -3.677871, -0.511445, 1, 0.356759, 0.018488, 0.514673
-5.464049, -3.620952, -0.538338, 1, 0.356759, 0.018488, 0.514673
-5.821220, -4.157316, 0.391166, 1, 0.356759, 0.018488, 0.514673
-5.368971, -4.133937, 0.306278, 1, 0.356759, 0.018488, 0.514673
-5.999161, -3.653591, 0.261124, 1, 0.356759, 0.018488, 0.514673
-5.605847, -3.699341, 0.185261, 1, 0.356759, 0.018488, 0.514673
-5.296797, -3.779442, 0.117555, 1, 0.356759, 0.018488, 0.514673
-5.139348, -3.956277, 0.056261, 1, 0.356759, 0.018488, 0.514673
-6.090070, -3.705897, 0.004853, 1, 0.356759, 0.018488, 0.514673
-5.628561, -3.712639, -0.060491, 1, 0.356759, 0.018488, 0.514673
-5.245313, -3.739667, -0.117618, 1, 0.356759, 0.018488, 0.514673
-6.041574, -3.672919, -0.254318, 1, 0.356759, 0.018488, 0.514673
-5.478730, -3.610242, -0.297143, 1, 0.356759, 0.018488, 0.514673
-5.296086, -3.772242, -0.357495, 1, 0.356759, 0.018488, 0.514673
-6.039228, -3.667164, -0.512531, 1, 0.356759, 0.018488, 0.514673
-5.480127, -3.607460, -0.538829, 1, 0.356759, 0.018488, 0.514673
-7.584867, -4.979170, 0.913140, 1, 0.356759, 0.018488, 0.514673
-6.309322, -3.818705, 0.544042, 1, 0.356759, 0.018488, 0.514673
-5.821733, -4.130770, 0.390347, 1, 0.356759, 0.018488, 0.514673
-5.391150, -4.124730, 0.306820, 1, 0.356759, 0.018488, 0.514673
-6.031719, -3.648098, 0.262053, 1, 0.356759, 0.018488, 0.514673
-5.614662, -3.680481, 0.185178, 1, 0.356759, 0.018488, 0.514673
-5.309999, -3.764330, 0.117591, 1, 0.356759, 0.018488, 0.514673
-5.149873, -3.939276, 0.056243, 1, 0.356759, 0.018488, 0.514673
-6.062041, -3.663403, 0.004821, 1, 0.356759, 0.018488, 0.514673
-5.636579, -3.693161, -0.060455, 1, 0.356759, 0.018488, 0.514673
-5.278790, -3.739161, -0.118111, 1, 0.356759, 0.018488, 0.514673
-5.063092, -3.867994, -0.177750, 1, 0.356759, 0.018488, 0.514673
-6.061369, -3.659532, -0.254678, 1, 0.356759, 0.018488, 0.514673
-5.494795, -3.596699, -0.297414, 1, 0.356759, 0.018488, 0.514673
-5.324750, -3.768089, -0.358648, 1, 0.356759, 0.018488, 0.514673
-6.051305, -3.649133, -0.512603, 1, 0.356759, 0.018488, 0.514673
-5.471983, -3.578085, -0.536946, 1, 0.356759, 0.018488, 0.514673
-6.307331, -3.791110, 0.542865, 1, 0.356759, 0.018488, 0.514673
-5.838458, -4.115767, 0.390620, 1, 0.356759, 0.018488, 0.514673
-5.390259, -4.097892, 0.306052, 1, 0.356759, 0.018488, 0.514673
-6.103705, -3.666108, 0.264690, 1, 0.356759, 0.018488, 0.514673
-5.644356, -3.675238, 0.185785, 1, 0.356759, 0.018488, 0.514673
-5.318253, -3.745719, 0.117519, 1, 0.356759, 0.018488, 0.514673
