x,y,z,C,R,G,B
-5.797065, -6.026515, 2.555914, 2, 0.490387, 0.453792, 0.837573
-5.903983, -6.100096, 2.594791, 2, 0.490387, 0.453792, 0.837573
-5.852615, -6.010015, 2.564099, 2, 0.490387, 0.453792, 0.837573
-5.865002, -5.985883, 2.561468, 2, 0.490387, 0.453792, 0.837573
-5.885353, -5.969905, 2.562345, 2, 0.490387, 0.453792, 0.837573
-6.067939, -6.159197, 2.281178, 2, 0.490387, 0.453792, 0.837573
-5.915764, -5.964042, 2.567607, 2, 0.490387, 0.453792, 0.837573
-5.932682, -5.944511, 2.567022, 2, 0.490387, 0.453792, 0.837573
-6.148633, -6.164980, 2.297250, 2, 0.490387, 0.453792, 0.837573
-5.905491, -5.881068, 2.547438, 2, 0.490387, 0.453792, 0.837573
-6.038757, -6.017774, 2.249289, 2, 0.490387, 0.453792, 0.837573
-5.930303, -5.869651, 2.550361, 2, 0.490387, 0.453792, 0.837573
-5.990553, -5.933218, 2.224544, 2, 0.490387, 0.453792, 0.837573
-5.936011, -5.839357, 2.545099, 2, 0.490387, 0.453792, 0.837573
-5.963938, -5.870722, 2.207962, 2, 0.490387, 0.453792, 0.837573
-5.959368, -5.826467, 2.547438, 2, 0.490387, 0.453792, 0.837573
-6.008876, -5.878768, 2.217911, 2, 0.490387, 0.453792, 0.837573
-5.971043, -5.802158, 2.544807, 2, 0.490387, 0.453792, 0.837573
-5.796757, -6.076388, 2.467817, 2, 0.490387, 0.453792, 0.837573
-6.026883, -5.860306, 2.217911, 2, 0.490387, 0.453792, 0.837573
-5.988816, -5.783812, 2.544807, 2, 0.490387, 0.453792, 0.837573
-5.826002, -6.069650, 2.472328, 2, 0.490387, 0.453792, 0.837573
-5.996859, -5.795424, 2.200309, 2, 0.490387, 0.453792, 0.837573
-6.019641, -5.777994, 2.550361, 2, 0.490387, 0.453792, 0.837573
-5.815270, -6.021382, 2.459923, 2, 0.490387, 0.453792, 0.837573
-6.028344, -5.750917, 2.546561, 2, 0.490387, 0.453792, 0.837573
-5.843076, -6.013146, 2.463870, 2, 0.490387, 0.453792, 0.837573
-5.930894, -5.661710, 2.163318, 2, 0.490387, 0.453792, 0.837573
-6.047347, -5.733711, 2.547145, 2, 0.490387, 0.453792, 0.837573
-5.862168, -5.995877, 2.464152, 2, 0.490387, 0.453792, 0.837573
-6.065376, -5.754627, 2.205921, 2, 0.490387, 0.453792, 0.837573
-6.085789, -5.734807, 2.555914, 2, 0.490387, 0.453792, 0.837573
-5.871116, -5.968289, 2.460205, 2, 0.490387, 0.453792, 0.837573
-6.060492, -5.714764, 2.197758, 2, 0.490387, 0.453792, 0.837573
-6.087300, -5.701074, 2.549191, 2, 0.490387, 0.453792, 0.837573
-5.900197, -5.961158, 2.464716, 2, 0.490387, 0.453792, 0.837573
-6.028610, -5.649861, 2.179900, 2, 0.490387, 0.453792, 0.837573
-6.136263, -5.711692, 2.562345, 2, 0.490387, 0.453792, 0.837573
-5.891377, -5.915836, 2.453438, 2, 0.490387, 0.453792, 0.837573
-6.068556, -5.652427, 2.188064, 2, 0.490387, 0.453792, 0.837573
-6.139015, -5.679201, 2.556207, 2, 0.490387, 0.453792, 0.837573
-5.921723, -5.909933, 2.458513, 2, 0.490387, 0.453792, 0.837573
-6.061035, -5.610793, 2.179135, 2, 0.490387, 0.453792, 0.837573
-6.119802, -5.626683, 2.541007, 2, 0.490387, 0.453792, 0.837573
-5.905087, -5.857279, 2.444134, 2, 0.490387, 0.453792, 0.837573
-6.120914, -5.631451, 2.194441, 2, 0.490387, 0.453792, 0.837573
-6.132800, -5.604010, 2.539253, 2, 0.490387, 0.453792, 0.837573
-5.936694, -5.852606, 2.449773, 2, 0.490387, 0.453792, 0.837573
-6.088212, -5.566973, 2.176584, 2, 0.490387, 0.453792, 0.837573
-6.190631, -6.102947, 2.199368, 2, 0.490387, 0.453792, 0.837573
-6.163415, -5.597384, 2.544807, 2, 0.490387, 0.453792, 0.837573
-5.918300, -5.798778, 2.434830, 2, 0.490387, 0.453792, 0.837573
-6.166802, -5.604193, 2.198523, 2, 0.490387, 0.453792, 0.837573
-6.179138, -5.577167, 2.544222, 2, 0.490387, 0.453792, 0.837573
-5.921628, -5.766536, 2.428910, 2, 0.490387, 0.453792, 0.837573
-5.839151, -6.132952, 2.397669, 2, 0.490387, 0.453792, 0.837573
-6.273662, -5.666258, 2.230411, 2, 0.490387, 0.453792, 0.837573
-6.197644, -5.559461, 2.544807, 2, 0.490387, 0.453792, 0.837573
-5.944118, -5.753013, 2.430883, 2, 0.490387, 0.453792, 0.837573
-5.820000, -6.075405, 2.382140, 2, 0.490387, 0.453792, 0.837573
-6.282381, -5.639234, 2.227350, 2, 0.490387, 0.453792, 0.837573
-6.244652, -5.567149, 2.557084, 2, 0.490387, 0.453792, 0.837573
-5.929241, -5.703488, 2.417632, 2, 0.490387, 0.453792, 0.837573
-5.886021, -6.106707, 2.401483, 2, 0.490387, 0.453792, 0.837573
-5.829217, -5.200256, 2.061020, 2, 0.490387, 0.453792, 0.837573
-5.846880, -5.219130, 1.757188, 2, 0.490387, 0.453792, 0.837573
-6.226629, -5.516889, 2.542761, 2, 0.490387, 0.453792, 0.837573
-5.968210, -5.705824, 2.426372, 2, 0.490387, 0.453792, 0.837573
-5.867216, -6.049940, 2.386226, 2, 0.490387, 0.453792, 0.837573
-5.865402, -5.200309, 2.068163, 2, 0.490387, 0.453792, 0.837573
-5.882572, -5.218651, 1.763095, 2, 0.490387, 0.453792, 0.837573
-6.218404, -5.475640, 2.532530, 2, 0.490387, 0.453792, 0.837573
-6.001684, -5.702687, 2.432857, 2, 0.490387, 0.453792, 0.837573
-5.920020, -6.067033, 2.400120, 2, 0.490387, 0.453792, 0.837573
-5.885681, -5.186126, 2.069693, 2, 0.490387, 0.453792, 0.837573
-5.921977, -5.221229, 1.770096, 2, 0.490387, 0.453792, 0.837573
-6.236614, -5.457796, 2.533115, 2, 0.490387, 0.453792, 0.837573
-5.997527, -5.663826, 2.424117, 2, 0.490387, 0.453792, 0.837573
-5.910295, -6.020005, 2.388678, 2, 0.490387, 0.453792, 0.837573
-5.959984, -5.222328, 1.776659, 2, 0.490387, 0.453792, 0.837573
-6.280028, -5.461857, 2.543930, 2, 0.490387, 0.453792, 0.837573
-6.016974, -5.647369, 2.424963, 2, 0.490387, 0.453792, 0.837573
-5.911831, -5.984731, 2.381868, 2, 0.490387, 0.453792, 0.837573
-6.335322, -5.513639, 2.215870, 2, 0.490387, 0.453792, 0.837573
-5.998790, -5.223883, 1.783441, 2, 0.490387, 0.453792, 0.837573
-6.140475, -5.307485, 2.480792, 2, 0.490387, 0.453792, 0.837573
-6.037779, -5.632156, 2.426372, 2, 0.490387, 0.453792, 0.837573
-5.936947, -5.973390, 2.384592, 2, 0.490387, 0.453792, 0.837573
-6.434115, -5.565020, 2.244442, 2, 0.490387, 0.453792, 0.837573
-6.333368, -5.907886, 2.191274, 2, 0.490387, 0.453792, 0.837573
-6.030283, -5.218865, 1.788035, 2, 0.490387, 0.453792, 0.837573
-6.050808, -5.609691, 2.424680, 2, 0.490387, 0.453792, 0.837573
-5.961369, -5.961271, 2.387044, 2, 0.490387, 0.453792, 0.837573
-6.286058, -5.827790, 2.168709, 2, 0.490387, 0.453792, 0.837573
-6.055883, -5.208611, 1.790879, 2, 0.490387, 0.453792, 0.837573
-6.055290, -5.579399, 2.419606, 2, 0.490387, 0.453792, 0.837573
-5.963250, -5.926676, 2.380506, 2, 0.490387, 0.453792, 0.837573
-6.306047, -5.810449, 2.169445, 2, 0.490387, 0.453792, 0.837573
-6.079994, -5.196981, 1.793286, 2, 0.490387, 0.453792, 0.837573
-6.064364, -5.144951, 2.430808, 2, 0.490387, 0.453792, 0.837573
-6.111295, -5.596433, 2.435112, 2, 0.490387, 0.453792, 0.837573
-5.923220, -5.850878, 2.357349, 2, 0.490387, 0.453792, 0.837573
-6.068597, -5.152003, 2.100306, 2, 0.490387, 0.453792, 0.837573
-6.303824, -5.772742, 2.162577, 2, 0.490387, 0.453792, 0.837573
-6.086985, -5.170723, 1.790660, 2, 0.490387, 0.453792, 0.837573
